protocol,network,contract_address,source,status,contract_name,abi_path
t3rn_bridge,arbitrum,,not-found,skip,Unknown,
ulysses,arbitrum,,not-found,skip,Unknown,
wan_bridge,arbitrum,,not-found,skip,Unknown,
hats_v2,arbitrum,,not-found,skip,Unknown,
core_bridge,arbitrum,,not-found,skip,Unknown,
eventum_bridge,arbitrum,,not-found,skip,Unknown,
rari_chain,arbitrum,,not-found,skip,Unknown,
reya_bridge,arbitrum,,not-found,skip,Unknown,
sanko_bridge,arbitrum,,not-found,skip,Unknown,
xai_bridge,arbitrum,,not-found,skip,Unknown,
abracadabra_spell,arbitrum,,not-found,skip,Unknown,
angle,arbitrum,,not-found,skip,Unknown,
button_wrappers,arbitrum,,not-found,skip,Unknown,
davos_protocol,arbitrum,,not-found,skip,Unknown,
defi_money,arbitrum,,not-found,skip,Unknown,
dsu_money,arbitrum,,not-found,skip,Unknown,
fluidity_money,arbitrum,,not-found,skip,Unknown,
frankencoin,arbitrum,,not-found,skip,Unknown,
gravita_protocol,arbitrum,,not-found,skip,Unknown,
handle_fi,arbitrum,,not-found,skip,Unknown,
nerite,arbitrum,,not-found,skip,Unknown,
nuon_finance,arbitrum,,not-found,skip,Unknown,
open_dollar,arbitrum,,not-found,skip,Unknown,
overnight_finance,arbitrum,,not-found,skip,Unknown,
preon_finance,arbitrum,,not-found,skip,Unknown,
psy,arbitrum,,not-found,skip,Unknown,
qidao,arbitrum,,not-found,skip,Unknown,
river_omni_cdp,arbitrum,,not-found,skip,Unknown,
savvy,arbitrum,,not-found,skip,Unknown,
seneca,arbitrum,,not-found,skip,Unknown,
the_standard,arbitrum,,not-found,skip,Unknown,
tren_finance,arbitrum,,not-found,skip,Unknown,
vesta_finance,arbitrum,,not-found,skip,Unknown,
volta_finance,arbitrum,,not-found,skip,Unknown,
xdollar,arbitrum,,not-found,skip,Unknown,
yama_finance,arbitrum,,not-found,skip,Unknown,
defi_saver,arbitrum,,not-found,skip,Unknown,
summer_fi_pro,arbitrum,,not-found,skip,Unknown,
goose,arbitrum,,not-found,skip,Unknown,
backpack,arbitrum,,not-found,skip,Unknown,
